location,country,time,temp,pressure,humidity,visibility,wind speed,wind degree,clouds,date
liberec,cz,1653485699,15.1,1017.3,73.37,7017.6,4.49,203.16,31.12,Wed May 25 15:34:59 CEST 2022
liberec,cz,1653485099,21.19,995.21,25.57,6798.66,3.38,218.11,77.26,Wed May 25 15:24:59 CEST 2022
liberec,cz,1653484499,15.61,1016.59,86.75,7167.04,4.56,159.59,49.7,Wed May 25 15:14:59 CEST 2022
liberec,cz,1653483899,11.17,1013.71,32.34,6318.94,3.59,181.58,4.73,Wed May 25 15:04:59 CEST 2022
liberec,cz,1653483299,23.44,992.56,87.22,7143.42,2.64,54.93,51.43,Wed May 25 14:54:59 CEST 2022
liberec,cz,1653482699,17.05,1010.67,46.46,7057.82,3.98,248.4,31.1,Wed May 25 14:44:59 CEST 2022
liberec,cz,1653482099,7.85,1028.1,78.79,8721.75,3.18,257.33,81.68,Wed May 25 14:34:59 CEST 2022
liberec,cz,1653481499,22.38,995.72,27.63,8989.67,4.67,339.05,16.49,Wed May 25 14:24:59 CEST 2022
liberec,cz,1653480899,10.83,993.88,70.38,9352.52,0.98,243.2,64.22,Wed May 25 14:14:59 CEST 2022
liberec,cz,1653480299,9.17,1016.65,22.27,8754.05,0.43,355.94,10.69,Wed May 25 14:04:59 CEST 2022
liberec,cz,1653479699,7.39,990.16,37.12,6574.63,2.68,323.24,59.89,Wed May 25 13:54:59 CEST 2022
liberec,cz,1653479099,11.81,1012.54,32.09,6920.58,4.32,242.58,4.16,Wed May 25 13:44:59 CEST 2022
liberec,cz,1653478499,11.14,1021.84,45.16,8610.73,0.28,144.95,73.42,Wed May 25 13:34:59 CEST 2022
liberec,cz,1653477899,11.12,996.77,59.26,9346.94,3.13,189.23,52.18,Wed May 25 13:24:59 CEST 2022
liberec,cz,1653477299,19.74,1003.22,62.37,8645.01,2.83,121.18,31.92,Wed May 25 13:14:59 CEST 2022
liberec,cz,1653476699,15.78,1012.76,31.85,7119.67,2.83,309.5,15.37,Wed May 25 13:04:59 CEST 2022
liberec,cz,1653476099,15.59,1024.5,82.07,7353.63,3.13,152.72,6.24,Wed May 25 12:54:59 CEST 2022
liberec,cz,1653475499,22.13,1014.46,26.48,8707.38,3.92,51.31,61.01,Wed May 25 12:44:59 CEST 2022
