location,country,time,temp,pressure,humidity,visibility,wind speed,wind degree,clouds,date
ústí,cz,1653486239,21.15,991.41,39.79,8237.14,0.55,137.09,80.75,Wed May 25 15:43:59 CEST 2022
ústí,cz,1653485639,12.68,1027.96,62.4,9996.46,4.16,32.46,20.42,Wed May 25 15:33:59 CEST 2022
ústí,cz,1653485039,19.92,1024.23,34.77,6019.55,2.53,346.49,66.56,Wed May 25 15:23:59 CEST 2022
ústí,cz,1653484439,18.77,1015.99,71.05,6052.53,4.45,89.96,58.93,Wed May 25 15:13:59 CEST 2022
ústí,cz,1653483839,12.72,1005.61,47.97,6534.5,4.16,339.59,44.38,Wed May 25 15:03:59 CEST 2022
ústí,cz,1653483239,16.98,993.36,80.86,8046.22,0.85,275.68,94.44,Wed May 25 14:53:59 CEST 2022
ústí,cz,1653482639,7.92,1012.36,30.63,8853.54,0.47,73.8,37.46,Wed May 25 14:43:59 CEST 2022
ústí,cz,1653482039,26.0,1004.3,75.31,6954.59,4.3,345.88,94.82,Wed May 25 14:33:59 CEST 2022
ústí,cz,1653481439,23.29,1011.24,67.58,7784.95,3.35,234.6,65.71,Wed May 25 14:23:59 CEST 2022
ústí,cz,1653480839,20.46,1016.08,30.19,7199.88,4.45,148.99,19.04,Wed May 25 14:13:59 CEST 2022
ústí,cz,1653480239,11.37,1016.21,85.84,9049.85,4.39,314.98,11.11,Wed May 25 14:03:59 CEST 2022
ústí,cz,1653479639,12.53,991.99,60.3,7216.62,2.22,122.24,88.15,Wed May 25 13:53:59 CEST 2022
ústí,cz,1653479039,8.53,994.7,80.62,6550.75,3.77,124.2,76.66,Wed May 25 13:43:59 CEST 2022
ústí,cz,1653478439,15.14,1029.85,85.51,7705.7,3.31,172.34,34.41,Wed May 25 13:33:59 CEST 2022
ústí,cz,1653477839,20.17,1006.66,53.73,9383.46,2.3,281.71,93.54,Wed May 25 13:23:59 CEST 2022
ústí,cz,1653477239,21.66,1016.98,36.07,8678.66,3.8,292.46,0.36,Wed May 25 13:13:59 CEST 2022
ústí,cz,1653476639,14.64,996.74,38.43,9370.39,1.73,153.25,88.42,Wed May 25 13:03:59 CEST 2022
ústí,cz,1653476039,18.63,1023.74,62.83,9854.75,3.61,182.02,86.72,Wed May 25 12:53:59 CEST 2022
ústí,cz,1653475439,8.49,1029.12,49.97,9360.74,2.29,74.3,29.88,Wed May 25 12:43:59 CEST 2022
ústí,cz,1653474839,24.88,1020.74,63.41,7172.2,1.09,262.03,12.37,Wed May 25 12:33:59 CEST 2022
ústí,cz,1653474239,8.64,1026.66,29.46,6632.29,1.11,18.81,62.16,Wed May 25 12:23:59 CEST 2022
ústí,cz,1653473639,19.02,1025.45,78.1,8089.51,0.95,131.06,36.35,Wed May 25 12:13:59 CEST 2022
ústí,cz,1653473039,19.58,1008.84,81.89,6567.41,3.83,131.01,30.79,Wed May 25 12:03:59 CEST 2022
ústí,cz,1653472439,15.07,990.03,63.15,8369.92,1.69,264.79,73.61,Wed May 25 11:53:59 CEST 2022
ústí,cz,1653471839,10.12,1007.62,52.59,7752.38,3.99,328.06,97.63,Wed May 25 11:43:59 CEST 2022
ústí,cz,1653471239,13.01,996.66,41.75,7330.12,0.99,70.89,18.82,Wed May 25 11:33:59 CEST 2022
ústí,cz,1653470639,23.68,1004.79,71.13,6272.85,3.77,219.87,79.92,Wed May 25 11:23:59 CEST 2022
ústí,cz,1653470039,7.49,1010.62,72.45,9303.88,2.7,90.61,60.5,Wed May 25 11:13:59 CEST 2022
ústí,cz,1653469439,10.41,1010.83,35.43,6234.94,1.52,249.12,91.8,Wed May 25 11:03:59 CEST 2022
ústí,cz,1653468839,16.03,990.65,22.75,9057.75,4.39,309.65,62.99,Wed May 25 10:53:59 CEST 2022
ústí,cz,1653468239,24.91,995.82,24.42,8229.35,4.75,310.82,58.67,Wed May 25 10:43:59 CEST 2022
ústí,cz,1653467639,15.53,1006.91,82.58,9526.85,0.12,104.67,15.98,Wed May 25 10:33:59 CEST 2022
ústí,cz,1653467039,11.12,993.85,41.57,9302.32,3.73,86.26,10.43,Wed May 25 10:23:59 CEST 2022
ústí,cz,1653466439,22.13,990.07,85.54,9533.83,4.07,82.94,51.62,Wed May 25 10:13:59 CEST 2022
