location, country, time, temp, pressure, humidity, visibility, wind speed, wind degree, clouds, date
Olomouc,CZ,1651935591,17.49,1020.0,77.0,10000.0,2.47,8.0,100.0,Sat May 07 17:03:56 CEST 2022
Olomouc,CZ,1651995399,16.39,1023.0,93.0,10000.0,1.04,34.0,94.0,Sun May 08 09:36:40 CEST 2022
Olomouc,CZ,1651995772,16.77,1023.0,93.0,10000.0,1.04,34.0,94.0,Sun May 08 09:46:47 CEST 2022
Olomouc,CZ,1651996485,16.76,1023.0,86.0,10000.0,1.04,34.0,94.0,Sun May 08 09:57:47 CEST 2022
Olomouc,CZ,1651997088,16.95,1023.0,84.0,10000.0,1.04,34.0,94.0,Sun May 08 10:08:34 CEST 2022
Olomouc,CZ,1651997522,16.81,1023.0,84.0,10000.0,1.04,34.0,94.0,Sun May 08 10:12:03 CEST 2022
Olomouc,CZ,1651997982,17.59,1023.0,81.0,10000.0,1.04,34.0,94.0,Sun May 08 10:22:28 CEST 2022
Olomouc,CZ,1651998631,18.24,1022.0,75.0,10000.0,1.96,60.0,95.0,Sun May 08 10:32:51 CEST 2022
Olomouc,CZ,1651999321,17.92,1022.0,75.0,10000.0,1.96,60.0,95.0,Sun May 08 10:43:51 CEST 2022
Olomouc,CZ,1651999823,18.89,1022.0,70.0,10000.0,1.96,60.0,95.0,Sun May 08 10:54:51 CEST 2022
Olomouc,CZ,1652000751,19.26,1022.0,63.0,10000.0,1.96,60.0,95.0,Sun May 08 11:05:51 CEST 2022
Olomouc,CZ,1652001060,18.8,1022.0,63.0,10000.0,1.96,60.0,95.0,Sun May 08 11:12:52 CEST 2022
Olomouc,CZ,1652001650,18.7,1022.0,63.0,10000.0,1.96,60.0,95.0,Sun May 08 11:23:51 CEST 2022
Olomouc,CZ,1652002320,19.63,1022.0,70.0,10000.0,2.38,83.0,91.0,Sun May 08 11:34:51 CEST 2022
Olomouc,CZ,1652003116,20.12,1022.0,69.0,10000.0,2.38,83.0,91.0,Sun May 08 11:45:51 CEST 2022
Olomouc,CZ,1652003563,19.85,1022.0,69.0,10000.0,2.38,83.0,91.0,Sun May 08 11:56:51 CEST 2022
Olomouc,CZ,1652004603,20.13,1022.0,67.0,10000.0,2.38,83.0,91.0,Sun May 08 12:12:15 CEST 2022
