17:22:35.568 [main] INFO  c.e.weatherapp.WeatherAppApplication - Starting WeatherAppApplication v0.0.1-SNAPSHOT using Java 17.0.2 on martinNtb with PID 15320 (C:\Users\marth\Documents\Java\PPJ\PPJ_2022\WeatherApp\target\WeatherApp-0.0.1-SNAPSHOT.jar started by marth in C:\Users\marth\Documents\Java\PPJ\PPJ_2022\WeatherApp\target)
17:22:35.576 [main] INFO  c.e.weatherapp.WeatherAppApplication - No active profile set, falling back to 1 default profile: "default"
17:22:36.173 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
17:22:36.188 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
17:22:36.188 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 MongoDB repository interfaces.
17:22:36.360 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
17:22:36.360 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
17:22:36.376 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 2 ms. Found 0 JPA repository interfaces.
17:22:37.298 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
17:22:37.313 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
17:22:37.313 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
17:22:37.313 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
17:22:37.407 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
17:22:37.407 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1748 ms
17:22:37.803 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
17:22:37.897 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.7.Final
17:22:38.122 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
17:22:38.318 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
17:22:38.671 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
17:22:38.719 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
17:22:39.090 [main] INFO  org.hibernate.tuple.PojoInstantiator - HHH000182: No default (no-argument) constructor for class: com.example.weatherapp.models.CityId (class must be instantiated by Interceptor)
17:22:39.603 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
17:22:39.615 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
17:22:40.222 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
17:22:40.613 [main] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[127.0.0.1:27017], srvHost=cluster0.zl5oc.mongodb.net, mode=MULTIPLE, requiredClusterType=REPLICA_SET, serverSelectionTimeout='30000 ms', requiredReplicaSetName='Cluster0-shard-0'}
17:22:40.691 [cluster-ClusterId{value='628cf8405004ff32c6b3dbb4', description='null'}-srv-cluster0.zl5oc.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-02.zl5oc.mongodb.net:27017 to client view of cluster
17:22:40.691 [main] INFO  org.mongodb.driver.cluster - Cluster description not yet available. Waiting for 30000 ms before timing out
17:22:40.738 [cluster-ClusterId{value='628cf8405004ff32c6b3dbb4', description='null'}-srv-cluster0.zl5oc.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.zl5oc.mongodb.net:27017 to client view of cluster
17:22:40.739 [cluster-ClusterId{value='628cf8405004ff32c6b3dbb4', description='null'}-srv-cluster0.zl5oc.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-01.zl5oc.mongodb.net:27017 to client view of cluster
17:22:40.745 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@5afbd567 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=cluster0-shard-00-02.zl5oc.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=cluster0-shard-00-00.zl5oc.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=cluster0-shard-00-01.zl5oc.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
17:22:41.269 [cluster-ClusterId{value='628cf8405004ff32c6b3dbb4', description='null'}-cluster0-shard-00-00.zl5oc.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:1329419}] to cluster0-shard-00-00.zl5oc.mongodb.net:27017
17:22:41.269 [cluster-rtt-ClusterId{value='628cf8405004ff32c6b3dbb4', description='null'}-cluster0-shard-00-01.zl5oc.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:1346777}] to cluster0-shard-00-01.zl5oc.mongodb.net:27017
17:22:41.269 [cluster-ClusterId{value='628cf8405004ff32c6b3dbb4', description='null'}-cluster0-shard-00-02.zl5oc.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:506590}] to cluster0-shard-00-02.zl5oc.mongodb.net:27017
17:22:41.269 [cluster-rtt-ClusterId{value='628cf8405004ff32c6b3dbb4', description='null'}-cluster0-shard-00-02.zl5oc.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:506596}] to cluster0-shard-00-02.zl5oc.mongodb.net:27017
17:22:41.269 [cluster-rtt-ClusterId{value='628cf8405004ff32c6b3dbb4', description='null'}-cluster0-shard-00-00.zl5oc.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:1329420}] to cluster0-shard-00-00.zl5oc.mongodb.net:27017
17:22:41.269 [cluster-ClusterId{value='628cf8405004ff32c6b3dbb4', description='null'}-cluster0-shard-00-01.zl5oc.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:1346890}] to cluster0-shard-00-01.zl5oc.mongodb.net:27017
17:22:41.270 [cluster-ClusterId{value='628cf8405004ff32c6b3dbb4', description='null'}-cluster0-shard-00-00.zl5oc.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.zl5oc.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=390649800, setName='Cluster0-shard-0', canonicalAddress=cluster0-shard-00-00.zl5oc.mongodb.net:27017, hosts=[cluster0-shard-00-02.zl5oc.mongodb.net:27017, cluster0-shard-00-01.zl5oc.mongodb.net:27017, cluster0-shard-00-00.zl5oc.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.zl5oc.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_CENTRAL_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=9, topologyVersion=TopologyVersion{processId=626825d0ff17a0955cf94397, counter=5}, lastWriteDate=Tue May 24 17:22:41 CEST 2022, lastUpdateTimeNanos=884838126842500}
17:22:41.270 [cluster-ClusterId{value='628cf8405004ff32c6b3dbb4', description='null'}-cluster0-shard-00-02.zl5oc.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.zl5oc.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=387495100, setName='Cluster0-shard-0', canonicalAddress=cluster0-shard-00-02.zl5oc.mongodb.net:27017, hosts=[cluster0-shard-00-02.zl5oc.mongodb.net:27017, cluster0-shard-00-01.zl5oc.mongodb.net:27017, cluster0-shard-00-00.zl5oc.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.zl5oc.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_CENTRAL_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=9, topologyVersion=TopologyVersion{processId=627e9071794566cb25c00778, counter=3}, lastWriteDate=Tue May 24 17:22:41 CEST 2022, lastUpdateTimeNanos=884838126831400}
17:22:41.270 [cluster-ClusterId{value='628cf8405004ff32c6b3dbb4', description='null'}-cluster0-shard-00-01.zl5oc.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.zl5oc.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=386541300, setName='Cluster0-shard-0', canonicalAddress=cluster0-shard-00-01.zl5oc.mongodb.net:27017, hosts=[cluster0-shard-00-02.zl5oc.mongodb.net:27017, cluster0-shard-00-01.zl5oc.mongodb.net:27017, cluster0-shard-00-00.zl5oc.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.zl5oc.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_CENTRAL_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000080, setVersion=9, topologyVersion=TopologyVersion{processId=626826aa5cb333f4f537a477, counter=6}, lastWriteDate=Tue May 24 17:22:41 CEST 2022, lastUpdateTimeNanos=884838126735600}
17:22:41.278 [cluster-ClusterId{value='628cf8405004ff32c6b3dbb4', description='null'}-cluster0-shard-00-01.zl5oc.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000080 from replica set primary cluster0-shard-00-01.zl5oc.mongodb.net:27017
17:22:41.278 [cluster-ClusterId{value='628cf8405004ff32c6b3dbb4', description='null'}-cluster0-shard-00-01.zl5oc.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 9 from replica set primary cluster0-shard-00-01.zl5oc.mongodb.net:27017
17:22:41.278 [cluster-ClusterId{value='628cf8405004ff32c6b3dbb4', description='null'}-cluster0-shard-00-01.zl5oc.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary cluster0-shard-00-01.zl5oc.mongodb.net:27017
17:22:41.485 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:1346468}] to cluster0-shard-00-01.zl5oc.mongodb.net:27017
17:22:42.315 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
17:22:42.633 [scheduling-1] INFO  c.e.weatherapp.rest.RestController - New data downloaded
17:22:42.898 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
17:22:42.915 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
17:22:42.931 [main] INFO  c.e.weatherapp.WeatherAppApplication - Started WeatherAppApplication in 7.818 seconds (JVM running for 8.385)
17:22:42.931 [main] INFO  c.e.weatherapp.WeatherAppApplication - Application started
17:22:44.646 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
17:22:44.647 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
17:22:44.649 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
