location,country,time,temp,pressure,humidity,visibility,wind speed,wind degree,clouds,date
Mladá Boleslav,CZ,1652126258,14.52,1025.0,70.0,10000.0,2.65,103.0,68.0,Mon May 09 21:59:04 CEST 2022
Olomouc,CZ,1652126280,11.83,1025.0,85.0,10000.0,2.99,22.0,31.0,Mon May 09 21:59:04 CEST 2022
Mladá Boleslav,CZ,1652128031,14.44,1025.0,70.0,10000.0,2.65,103.0,68.0,Mon May 09 22:27:12 CEST 2022
Olomouc,CZ,1652128032,12.45,1025.0,81.0,10000.0,2.99,22.0,31.0,Mon May 09 22:27:12 CEST 2022
Mladá Boleslav,CZ,1652128703,14.41,1025.0,74.0,10000.0,2.29,100.0,68.0,Mon May 09 22:38:23 CEST 2022
Olomouc,CZ,1652128503,12.55,1025.0,77.0,10000.0,2.55,11.0,29.0,Mon May 09 22:38:23 CEST 2022
Mladá Boleslav,CZ,1652129285,14.31,1025.0,74.0,10000.0,2.29,100.0,68.0,Mon May 09 22:49:01 CEST 2022
Olomouc,CZ,1652129296,12.53,1025.0,78.0,10000.0,2.55,11.0,29.0,Mon May 09 22:49:02 CEST 2022
Mladá Boleslav,CZ,1652130118,13.66,1025.0,74.0,10000.0,2.29,100.0,68.0,Mon May 09 23:03:18 CEST 2022
Olomouc,CZ,1652130026,11.31,1025.0,80.0,10000.0,2.55,11.0,29.0,Mon May 09 23:03:18 CEST 2022
Mladá Boleslav,CZ,1652196381,24.49,1018.0,42.0,10000.0,1.48,262.0,93.0,Tue May 10 17:27:33 CEST 2022
Olomouc,CZ,1652196298,22.52,1019.0,43.0,10000.0,2.22,313.0,4.0,Tue May 10 17:27:33 CEST 2022
Mladá Boleslav,CZ,1652197179,24.27,1017.0,49.0,10000.0,1.05,262.0,86.0,Tue May 10 17:39:39 CEST 2022
Olomouc,CZ,1652197179,22.27,1018.0,52.0,10000.0,1.93,295.0,5.0,Tue May 10 17:39:39 CEST 2022
Mladá Boleslav,CZ,1652203788,22.14,1017.0,58.0,10000.0,0.17,209.0,86.0,Tue May 10 19:29:47 CEST 2022
Olomouc,CZ,1652203788,20.9,1018.0,63.0,10000.0,1.68,280.0,5.0,Tue May 10 19:29:47 CEST 2022
Ostrava,CZ,1652204226,21.21,1018.0,35.0,10000.0,2.57,120.0,0.0,Tue May 10 19:38:39 CEST 2022
Mladá Boleslav,CZ,1652273929,26.84,1014.0,44.0,10000.0,5.55,240.0,83.0,Wed May 11 14:58:48 CEST 2022
Olomouc,CZ,1652273910,25.41,1016.0,48.0,10000.0,5.39,201.0,100.0,Wed May 11 14:58:48 CEST 2022
Ostrava,CZ,1652273731,24.42,1016.0,47.0,10000.0,5.66,220.0,0.0,Wed May 11 14:58:48 CEST 2022
Mladá Boleslav,CZ,1652276492,26.99,1013.0,46.0,10000.0,5.16,234.0,72.0,Wed May 11 15:41:31 CEST 2022
Olomouc,CZ,1652276400,26.1,1015.0,54.0,10000.0,5.11,193.0,99.0,Wed May 11 15:41:31 CEST 2022
Ostrava,CZ,1652276493,25.6,1016.0,38.0,10000.0,7.2,230.0,0.0,Wed May 11 15:41:31 CEST 2022
Mladá Boleslav,CZ,1652276492,26.99,1013.0,46.0,10000.0,5.16,234.0,72.0,Wed May 11 15:42:31 CEST 2022
Olomouc,CZ,1652276400,26.1,1015.0,54.0,10000.0,5.11,193.0,99.0,Wed May 11 15:42:31 CEST 2022
Ostrava,CZ,1652276493,25.6,1016.0,38.0,10000.0,7.2,230.0,0.0,Wed May 11 15:42:31 CEST 2022
Kladno,CZ,1652276263,26.32,1014.0,38.0,10000.0,5.66,230.0,0.0,Wed May 11 15:42:40 CEST 2022
Kladno,CZ,1652276263,26.32,1014.0,38.0,10000.0,5.66,230.0,0.0,Wed May 11 15:43:31 CEST 2022
Mladá Boleslav,CZ,1652276492,26.99,1013.0,46.0,10000.0,5.16,234.0,72.0,Wed May 11 15:43:31 CEST 2022
Olomouc,CZ,1652276400,26.1,1015.0,54.0,10000.0,5.11,193.0,99.0,Wed May 11 15:43:31 CEST 2022
Ostrava,CZ,1652276493,25.6,1016.0,38.0,10000.0,7.2,230.0,0.0,Wed May 11 15:43:31 CEST 2022
Kladno,CZ,1652276263,26.32,1014.0,38.0,10000.0,5.66,230.0,0.0,Wed May 11 15:44:31 CEST 2022
Mladá Boleslav,CZ,1652276492,26.99,1013.0,46.0,10000.0,5.16,234.0,72.0,Wed May 11 15:44:31 CEST 2022
Olomouc,CZ,1652276400,26.1,1015.0,54.0,10000.0,5.11,193.0,99.0,Wed May 11 15:44:31 CEST 2022
Ostrava,CZ,1652276493,25.6,1016.0,38.0,10000.0,7.2,230.0,0.0,Wed May 11 15:44:31 CEST 2022
Kladno,CZ,1652276263,26.32,1014.0,38.0,10000.0,5.66,230.0,0.0,Wed May 11 15:45:31 CEST 2022
Mladá Boleslav,CZ,1652276492,26.99,1013.0,46.0,10000.0,5.16,234.0,72.0,Wed May 11 15:45:31 CEST 2022
Olomouc,CZ,1652276400,26.1,1015.0,54.0,10000.0,5.11,193.0,99.0,Wed May 11 15:45:31 CEST 2022
Ostrava,CZ,1652276493,25.6,1016.0,38.0,10000.0,7.2,230.0,0.0,Wed May 11 15:45:31 CEST 2022
Kladno,CZ,1652276263,26.32,1014.0,38.0,10000.0,5.66,230.0,0.0,Wed May 11 15:46:31 CEST 2022
Mladá Boleslav,CZ,1652276492,26.99,1013.0,46.0,10000.0,5.16,234.0,72.0,Wed May 11 15:46:31 CEST 2022
Olomouc,CZ,1652276400,26.1,1015.0,54.0,10000.0,5.11,193.0,99.0,Wed May 11 15:46:31 CEST 2022
Ostrava,CZ,1652276493,25.6,1016.0,38.0,10000.0,7.2,230.0,0.0,Wed May 11 15:46:31 CEST 2022
Kladno,CZ,1652276263,26.32,1014.0,38.0,10000.0,5.66,230.0,0.0,Wed May 11 15:47:31 CEST 2022
Mladá Boleslav,CZ,1652276492,26.99,1013.0,46.0,10000.0,5.16,234.0,72.0,Wed May 11 15:47:31 CEST 2022
Olomouc,CZ,1652276400,26.1,1015.0,54.0,10000.0,5.11,193.0,99.0,Wed May 11 15:47:31 CEST 2022
Ostrava,CZ,1652276493,25.6,1016.0,38.0,10000.0,7.2,230.0,0.0,Wed May 11 15:47:31 CEST 2022
Kladno,CZ,1652276263,26.32,1014.0,38.0,10000.0,5.66,230.0,0.0,Wed May 11 15:48:31 CEST 2022
Mladá Boleslav,CZ,1652276492,26.99,1013.0,46.0,10000.0,5.16,234.0,72.0,Wed May 11 15:48:31 CEST 2022
Olomouc,CZ,1652276400,26.1,1015.0,54.0,10000.0,5.11,193.0,99.0,Wed May 11 15:48:31 CEST 2022
Ostrava,CZ,1652276493,25.6,1016.0,38.0,10000.0,7.2,230.0,0.0,Wed May 11 15:48:31 CEST 2022
Kladno,CZ,1652276263,26.32,1014.0,38.0,10000.0,5.66,230.0,0.0,Wed May 11 15:49:31 CEST 2022
Mladá Boleslav,CZ,1652276492,26.99,1013.0,46.0,10000.0,5.16,234.0,72.0,Wed May 11 15:49:31 CEST 2022
Olomouc,CZ,1652276400,26.1,1015.0,54.0,10000.0,5.11,193.0,99.0,Wed May 11 15:49:31 CEST 2022
